worm names,velc10,velc50,velc90,vel10,vel50,vel90,ampt10,ampt50,ampt90,waveL10,waveL50,waveL90,thicknessOne10,thicknessOne50,thicknessOne90,thicknessTwo10,thicknessTwo50,thicknessTwo90,thicknessMid10,thicknessMid50,thicknessMid90,ecc10,ecc50,ecc90,minRecRatio10,minRecRatio50,minRecRatio90,baekAmp10,baekAmp50,baekAmp90,baekAmpRatio10,baekAmpRatio50,baekAmpRatio90,angChRate10,angChRate50,angChRate90,area10,area50,area90,length10,length50,length90,width10,width50,width90,fatness10,fatness50,fatness90,bodyTrans10,bodyTrans50,bodyTrans90,HTBright10,HTBright50,HTBright90,pathMo2nd
N2_on_food,0.05741,-0.15677,-0.088116,0.069915,-0.15415,-0.11086,-0.91937,-0.20032,0.62434,-0.16417,1.1014,0.56266,-0.73855,0.19481,0.1722,-0.43487,0.5072,0.18039,0.16145,0.39566,0.19683,0.64856,0.51576,0.34242,0.94575,1.1615,0.81469,-0.71765,-0.8297,-0.43259,0.87993,0.92461,0.46847,-0.68122,-0.58932,-0.21456,0.015769,0.41894,0.3717,0.29022,0.24605,0.21163,0.0036721,0.29333,0.11081,0.062052,0.3772,0.062589,0.23167,0.2291,0.63344,-0.28995,-0.087183,-0.36328,0.67614
N2_on_food,0.23176,-0.59033,-0.32371,0.29283,-0.64185,-0.3933,0.12824,0.48975,0.81617,0.66385,0.84769,0.80055,-0.70532,0.45855,0.34862,-0.012649,0.88726,0.69747,0.25267,0.69685,0.79565,0.5182,0.34541,0.29321,0.40029,0.4133,0.37585,0.077986,0.066372,0.33955,-0.77191,0.42617,0.36597,-1.1123,-0.90363,-0.26861,0.41672,1.2495,1.6897,0.57638,0.65042,1.1108,0.18776,0.61157,0.74373,0.29258,0.81586,0.55219,-0.25999,-0.38328,-0.55803,-2.4791,-1.1443,0.46871,0.30884
N2_on_food,0.069246,-0.37781,-0.11077,0.080522,-0.41646,-0.12757,0.64572,0.62935,0.49208,0.20396,0.74851,0.40221,0.53642,1.6016,0.37541,1.9591,1.1255,0.22428,0.38578,0.17639,-0.1042,0.47237,0.29366,0.16969,0.3367,0.11134,-0.015736,0.33663,0.20143,0.29248,-0.77191,-0.24745,0.054423,0.23563,0.11536,-0.088913,0.53455,0.63543,0.50377,0.45269,0.46197,0.45493,0.28532,0.12401,-0.14374,0.36048,0.28918,-0.034654,-0.21082,-0.45132,-0.71689,-0.82652,-0.92664,-0.50981,-0.72141
N2_on_food,-0.073999,0.55413,0.13079,-0.10586,0.8688,0.15339,0.6888,0.091312,-0.10787,0.37704,-0.63094,0.51896,-1.1421,-0.089755,0.23195,-0.84516,0.13957,0.29488,0.7811,0.79117,0.99944,0.13098,0.1059,-0.06483,-0.35373,-0.3001,-0.56291,0.94287,0.71332,0.87208,0.4801,0.41338,0.263,0.50807,0.37848,-0.042046,1.3032,1.4207,2.0059,0.68112,0.79299,1.0831,0.78636,0.70197,0.97559,1.009,0.78221,0.57314,-0.21082,-0.17915,0.31572,-1.4455,-0.83946,0.021631,0.68839
N2_on_food,0.067242,-0.16747,-0.10572,0.081551,-0.12875,-0.12152,0.45467,0.85558,0.38817,0.9059,1.0116,0.5726,0.32034,0.15064,-0.27979,0.12594,0.1899,-0.057834,-0.083792,-0.43525,-0.24846,0.44387,0.36771,0.18796,0.14272,0.22868,-0.036443,0.2609,0.44762,1.2404,-0.77191,0.59427,0.38938,0.68036,0.45191,-0.030465,0.354,0.1618,0.44508,0.66571,0.72931,0.7846,-0.34306,-0.46129,-0.32876,-0.10674,-0.32547,-0.16587,-0.35832,-0.72349,-0.71689,0.3026,0.27993,0.13563,-0.66432
N2_on_food,0.065868,-0.35972,-0.12165,0.075121,-0.46891,-0.1313,0.095486,0.73872,1.1373,0.012047,1.1742,0.73848,0.096597,0.49948,0.1127,1.4011,0.61763,-0.18366,0.075641,-0.20805,-0.24446,0.66851,0.45395,0.31417,0.87093,0.75658,0.44987,-0.012097,0.061521,0.70238,1.8341,1.4261,0.70766,-0.95899,-0.72789,-0.23833,0.23338,-0.0039443,0.10622,0.67696,0.75126,0.82975,-0.14266,-0.23292,-0.25836,0.16367,-0.18061,-0.15815,-0.45665,-0.5874,-0.4786,0.023888,0.71525,0.37438,-0.81157
N2_on_food,0.06938,-0.59033,-0.12175,0.073007,-0.64185,-0.13579,0.46418,0.95009,0.60123,0.14466,1.0509,0.90701,-0.39629,-0.49604,-0.21901,-0.012649,-0.22172,-0.29074,-0.13564,-0.50296,-0.55759,0.29387,0.41472,0.42776,0.039695,0.34334,0.76289,0.50442,0.82115,1.3442,-0.36199,0.62532,0.40733,-1.0166,-0.83636,-0.25483,0.34113,0.084693,-0.151,0.81827,0.92353,0.98435,-0.37975,-0.49584,-0.61297,-0.083094,-0.35747,-0.44154,-0.40748,-0.85957,-1.1935,-2.6592,-1.9369,-0.80447,-0.47392
N2_on_food,0.082544,-0.27215,-0.10425,0.093832,-0.23452,-0.11968,-0.053138,0.80585,1.0403,0.25673,1.0284,0.59763,1.2911,0.67704,-0.22766,0.88837,0.6077,0.018206,-0.12704,-0.49743,-0.60551,0.42914,0.52606,0.40046,0.29114,1.0196,0.74429,-0.44617,0.23389,0.009595,0.27456,0.98349,0.6043,0.87136,0.60189,-0.0039866,-0.066076,-0.28364,-0.49152,0.49185,0.48972,0.52521,-0.34101,-0.52202,-0.62118,-0.077927,-0.37985,-0.41391,-0.45665,-0.92762,-1.3523,0.14158,0.075073,-0.17726,-0.33177
N2_on_food,0.063592,0.051894,-0.032891,0.075551,0.18032,-0.049673,-0.1817,0.38451,1.127,0.61933,1.5543,1.144,-0.60615,0.49948,0.366,1.6743,1.4858,0.65273,0.31813,0.96841,0.64488,0.72963,0.44714,0.3097,1.299,0.77555,0.68346,-0.33298,-0.2676,0.36133,1.2639,0.99112,0.50857,-1.1872,-0.96126,-0.26306,0.56221,1.3967,1.2463,0.8464,0.97736,1.0636,0.24802,0.85597,0.57854,0.39108,1.0766,0.36539,-0.45665,-0.79153,-1.1935,-1.8068,-1.1726,0.19159,0.55963
N2_on_food,0.028317,-0.37836,-0.077859,0.030861,-0.48289,-0.088973,0.23255,0.35201,0.29798,0.12492,0.72583,0.61738,-0.41659,-0.0088262,0.09693,-0.074667,0.33861,-0.1521,-0.023319,-0.29711,0.17651,0.43519,0.36873,0.24798,0.15298,0.35982,0.25166,0.2828,0.33491,0.62841,0.1213,0.55778,0.42438,-0.61174,-0.52397,-0.20246,0.33605,0.1422,0.98555,0.57546,0.59941,0.65358,-0.18622,-0.29173,0.11592,-0.032839,-0.27179,0.14357,-0.45665,-0.85957,-1.1935,0.40204,0.64458,0.30926,-0.1013
